Away,A_Overall_W,A_Overall_L,A_Overall_Pct,A_Conf_W,A_Conf_L,A_Conf_Pct,A_Pts_for,A_Pts_against,A_SRS,A_SOS,A_Poll_curr,A_Poll_pre,A_Poll_high,A_Offensive_Points,A_Offensive_Pass_Completions,A_Offensive_Pass_Attempts,A_Offensive_Pass_Pct,A_Offensive_Pass_Yrds,A_Offensive_Pass_TD,A_Offensive_RusA_Attempts,A_Offensive_RusA_Yards,A_Offensive_RusA_Yards_Average,A_Offensive_RusA_TD,A_Offensive_Total_Plays,A_Offensive_Total_Yards,A_Offensive_Total_Average,A_Offensive_First_Downs_Pass,A_Offensive_First_Downs_Rush,A_Offensive_First_Downs_Penalty,A_Offensive_First_Downs_Total,A_Offensive_Penalties_Number,A_Offensive_Penalties_Yards,A_Offensive_Turnovers_Fumbles,A_Offensive_Turnovers_Pass_Interception,A_Offensive_Turnovers_Total,A_Defensive_Points,A_Defensive_Pass_Completions,A_Defensive_Pass_Attempts,A_Defensive_Pass_Pct,A_Defensive_Pass_Yrds,A_Defensive_Pass_TD,A_Defensive_RusA_Attempts,A_Defensive_RusA_Yards,A_Defensive_RusA_Yards_Average,A_Defensive_RusA_TD,A_Defensive_Total_Plays,A_Defensive_Total_Yards,A_Defensive_Total_Average,A_Defensive_First_Downs_Pass,A_Defensive_First_Downs_Rush,A_Defensive_First_Downs_Penalty,A_Defensive_First_Downs_Total,A_Defensive_Penalties_Number,A_Defensive_Penalties_Yards,A_Defensive_Turnovers_Fumbles,A_Defensive_Turnovers_Pass_Interception,A_Defensive_Turnovers_Total
Mississippi State,8,4,0.667,4,4,0.5,29.1,12,13.69,5.19,20,18,14,29.1,12.6,24.3,51.9,175.6,1.8,39.3,226.4,5.8,2.1,63.6,402,6.3,6.9,11.8,1.3,20,6.3,54.8,0.2,0.7,0.8,12,16.6,30.6,54.2,164.2,0.4,34.2,105.1,3.1,0.6,64.8,269.3,4.2,7.6,7.4,1.8,16.8,5.2,39.6,0.5,1,1.5
Missouri,8,4,0.667,4,4,0.5,36.9,24.4,15.2,6.62,NA,NA,NA,36.9,21.5,34.4,62.5,271.6,2.1,42.6,197.3,4.6,2.2,77,468.8,6.1,12.2,10,2.3,24.4,7,61.3,0.5,0.7,1.2,24.4,18.4,33.3,55.3,256.1,1.7,34.1,122.9,3.6,0.8,67.4,379,5.6,10.2,6.2,1.8,18.1,6.7,56.9,0.5,0.7,1.2
Ole Miss,5,7,0.417,1,7,0.125,33.9,36.2,3.17,4.75,NA,NA,NA,33.9,23.5,36.8,63.9,346.4,1.8,34.8,164.9,4.7,2,71.6,511.3,7.1,13.6,8.8,1.8,24.1,7.3,66.8,0.4,0.8,1.2,36.2,20.8,32.9,63.3,261.7,2.2,43.3,220.8,5.1,2.1,76.3,482.5,6.3,10.8,12,2.4,25.3,6.2,55.9,0.7,0.6,1.3
South Carolina,6,5,0.545,4,4,0.5,33,29.4,9.16,7.44,NA,NA,24,33,21.9,34.3,63.9,284.5,2.6,34.9,161.4,4.6,1.4,69.2,445.9,6.4,12.5,8.7,1.7,23,6.5,55.1,0.5,0.9,1.4,29.4,20.1,32,62.8,235.5,0.8,43.5,207.5,4.8,2.5,75.5,443.1,5.9,11.6,12,2.3,25.9,7.2,64.7,0.5,0.5,1.1
Tennessee,5,7,0.417,2,6,0.25,22.8,27.9,1.14,6.81,NA,NA,NA,22.8,14.7,24.8,59.3,196.4,1.3,34.5,130,3.8,1.3,59.3,326.4,5.5,8,6.3,1.8,16,5.7,46.5,0.9,0.4,1.3,27.9,18.4,29.2,63.1,222.9,1.8,37.3,155.2,4.2,1.7,66.4,378.1,5.7,10.3,8.6,1.3,20.3,5.7,42.9,0.5,0.8,1.3
Texas A&M,8,4,0.667,5,3,0.625,34.7,26.3,11.96,6.96,22,NA,16,34.7,20,34.7,57.7,262,2,41.8,203.8,4.9,1.9,76.5,465.8,6.1,12.5,11.4,2.6,26.5,6,48.9,0.7,0.7,1.3,26.3,18.8,30.8,60.8,262.7,2.1,28.8,92,3.2,1.2,59.7,354.7,5.9,9.8,5.8,1.6,17.2,6.9,58.9,0.3,0.4,0.8
Vanderbilt,6,6,0.5,3,5,0.375,27.7,25.1,7.92,6.09,NA,NA,NA,27.7,20,31.5,63.5,240.2,1.9,34.1,157.7,4.6,1.5,65.6,397.8,6.1,10.7,8.1,2.3,21.1,5.7,45.2,0.6,0.5,1.1,25.1,19.7,31.9,61.6,232.6,1.7,38.7,187.3,4.8,1.3,70.6,419.8,5.9,10.5,10.9,1.4,22.8,6.6,56.8,0.8,1,1.8
Boston College,7,5,0.583,4,4,0.5,32,25.7,4.52,1.69,NA,NA,17,32,16.3,28.1,57.9,215.3,2.1,46.4,189.2,4.1,1.9,74.5,404.4,5.4,8.9,9.5,1,19.4,6.3,49.2,0.8,0.8,1.6,25.7,20.8,36.8,56.6,247.8,1.4,40.8,155.3,3.8,1.6,77.6,403.2,5.2,11.3,8.5,1.6,21.4,5.3,41.7,0.7,1.5,2.2
Clemson,12,0,1,9,0,1,45.7,14,22.78,2.2,2,2,2,45.7,22.3,34.3,65.2,282.3,2.4,38.7,257.8,6.7,3.5,72.9,540.1,7.4,12.4,11.1,1.3,24.8,4.7,42.2,0.7,0.7,1.3,14,16.3,30.1,54,198.4,0.9,38,91.8,2.4,0.6,68.1,290.2,4.3,8,5.6,1.7,15.3,6.4,51.3,0.8,0.7,1.4
Duke,7,5,0.583,3,5,0.375,27.2,27.4,4.3,3.3,NA,NA,22,27.2,20.5,36,56.9,229.9,2.2,36.8,162.7,4.4,1.3,72.8,392.6,5.4,10.2,8.8,1.4,20.4,4.2,35.2,0.8,0.6,1.4,27.4,17,30.9,55,197.1,1.3,43.1,222.3,5.2,2.1,74,419.4,5.7,9.1,10.9,1.1,21.1,5.6,54.3,0.7,0.3,0.9
